20090129083424AA1TAYF	Health;Other - Health	How can we control or get rid of Sweat?	I am kinda person who sweats a lot.under arms.too irritating,pls help me
20090128113743AA0PQoV	Health;Women's Health	Birth control question..?	Okay so I recently started having sex and I decided to tell my mom I needed birth control.  WW3  She freaked out calling me every name in the book, and now we rarely talk and she reminds me that she hates me.  One of my really good friends said she hasn't had sex in like a year and is willing to give up her birth control for me..and I was wondering what could happen to me if I took her pills?  Also, is there any way I can get birth control without my mom finding out..even tho she like has my health insurance or whatever?
20090128114331AAYQ6VG	Health;Diet & Fitness	Weight loss capsules from arpfarm(they work!lost 45lb. or 22kg)but how dangerous are they if...?	N/A
20090128121247AAE94lN	Health;Women's Health	How can you tell the difference between a light, medium, or heavy flow period?	N/A
20090128114533AAq2nwO	Health;Men's Health	Testicular crawling/itching sensation, what can it be?	I have been feeling this crawling sensation on my testicles for about a week now. I have also felt some itchiness towards my anus. The testicular itch feels like some sort of bug crawling on the inside of my testicles, on my skin. There is also a similar sensation near my anus.       I shower daily and am a clean individual. I looked up my symptoms online and figured it could be pinworms (threadworms). I took Pin-X, readily available over the counter to treat pinworms, but it has been over 24hrs and the sensation is still present. I have also shaved my pubic hair and have not found any pubic lice.      I do not know what else it could be, but other similar symptoms are found in yest infections, but I do not have any red rashes or small lesions. Could you please help me in diagnosing this issue? Any ideas on what it could be? I don't have insurance and am trying to treat this myself before going to a doctor, but that window of time is running out.
20090128114633AAML21O	Health;Diet & Fitness	Is my kid overweight?	My kid is 12 years old and weighs 98 pounds! He is 4ft and 9 inches. Is he close to becoming overweight? Close? Tiny close?
20090128114652AAhM1iP	Health;Diseases & Conditions;Skin Conditions	Who can tell me what my type of chin is called?	i really hate it!! i am seriously thinking of getting it fixed. When i smile i have a normal cute chin, but when i give my serious face, the way my lips go together, creates this lump, and i look so ugly!! Its not a bum chin or a double chin. its just this nectarine seed shaped lump and i hate hate hate it!!! i also have little bits of fat on either side just below my bottom lip, i guess where my lips meet when i put them together. The lump itself looks to me like its fat, and so i was wondering if it'd go away if i were to lose weight in my face, because i am a little over weight by about 3 kgs. Are there any ways i can get rid of this lump, and if you know what im talking about, please please please show me a photo of somebody with one, and the name of this type of chin!!! xx
20090128114858AAFB7Xy	Health;Women's Health	Im rely upset becasue ........?	well i got drunk and i woke up with a tattoo say lara is a slag (shes like my friend) and i am meeting up with her today what do i do
20090128115030AAnyfMn	Health;Diseases & Conditions;Other - Diseases	I am an alcoholic i ahve bad side pains and am being sick dark blood colour to scarred to tell the wife ?	N/A
20090128115221AAlTO4l	Health;Women's Health	Is it safe to take Calcium + Vit D pill along with my daily multi-vitamin? Too much Vit D can be dangerous.?	N/A
20090128115229AANYnSt	Health;Dental	What are the best dental schools in the UK (for undergraduate)?	N/A
20090128115410AAIvQo1	Health;Diseases & Conditions;Skin Conditions	My feet are still red from a sunbed!?	i went on a sunbed some time in september and i burt and my feet burnt, but they are still red now, ive never thought anything of it but now im starting to wonder y they are still red ? anyone help
20090128115502AAerlD1	Health;Men's Health	Why dont i have much sperm?	ok so im 15 and this is a little weird to ask but like every other guy i jerk it once and awhile like maybe once or twice a month and the last like 2 or 3 times i did i noticed that almost nothing came out should i b concerned about that and what can i do to fix the problem?
20090128115707AAqXTAL	Health;Diet & Fitness	How do you become anorexic?!?	just wondering....like what do you have to do other than not eat anything....
20090128115811AAvMnYv	Health;Women's Health	Can sitting with your comp on ur lap (while wearing a bra with underwire) cause cancer?	hey, if heard this rumor around school and was wondering if it was tru....   thanks a bunch   <3   Smily
20090128115912AAvL4xR	Health;Other - Health	Why do I feel like I'm going to throw up and have diarrhea?	I've been feeling really sick to my stomach. I had horrible explosive diarrhea in my pants before school, but I changed and felt fine, but during morning free period I spent the whole time in the bathroom evacuating my bowels, I tried some ginger-ale at lunch, but now I have another free period and I just got back after I spent 30 minutes on my hands and knees on the bathroom floor barfing. (I have a tendency to go to the nurse sometimes to get out of class, so she thought I was faking and she gave me a pill to stop the diarrhea then told me to go back to class)
20090128120012AACNJlE	Health;Diet & Fitness	Hi i want to lose a few lbs, will an elliptical help?	what is the best kind of work out to do on it? low intensity for a long time? i average 30-55 minutes daily on the elliptical (mix of high and low intensity). what results will this give me in my body and how long do i have to wait to see results?
20090128120053AA3TuvV	Health;Women's Health	Ok so i have a question about vaginal discharge?	Ok so i know its normal to have a little bit of discharge, but is there anyway i can get rid of it completely... and i also know its normal for all women to have their own unique smell but it bothers me... id rather it smell like roses ya know.. have any ideas... please don't be rude... yes i am sexually active but only with one person... we have been together for a little over two years.. and i have already had my check up and the doctor said i was in prefect health down there.. but it just bothers me. My boyfriend says that its just me.. and nothings wrong with it.. but like i said, it bothers me.. I keep it really clean though... i shave it and also shower at least once a day.. please help if u have any advice???
