20090307160135AA84YER	Society & Culture;Mythology & Folklore	Do you Yahoo,, Or have you been Yahoood, or Do you Google or Have you been googled?	Who is watching you
20090307173700AA8plSd	Society & Culture;Other - Society & Culture	What is it with racists??????	They really get my blood boiling.not just colour but all this stuff against immigrants n religion etc.Ive found myself getting into dumb posting arguments with idiots I don't even know cos they post stupid scare stories that they cant even back up with facts.kids read stuff n some might even get sucked in with it.The thing that gets me the most is that when you go to almost any country their are people from THEIR country that had to put up with the same trash that their spreading.Its the21st century!Im proud to be Irish but im not so insecure to think my culture is going to be damaged or watered down.That's up to the native people to carry on those traditions.when I was in dublin there was Sudanese guys living next to us for a couple of years and they were some of the most decent people Ive ever met,they had a different culture but went out of their way to make us welcome n them n us'Irish'lads got along just grand.Id like to think it taught me to judge people on who they are,not what people tell me they are.Should I just leave these people to it cos I don't think its doing nothing but getting me more angry?Its like havin an argument with a brick wall,n Im usually fairly laid back but this stuff just gets me raised
20090307172638AAdaMmC	Society & Culture;Religion & Spirituality	Is LEV 11:20-26 the reason that christians accept the new testament?	N/A
20090307173152AAGHb23	Society & Culture;Languages	What would be the perfect name for me?	My name is Mihaela.I want to change my name into a finnish one.My name is kinda finnish.Mikaela is the finnish form of my name.Can some body tell me what would be the perfect and the most unusual name for me.I have some in mind already:   Iro,Impi,Kastehelmi,Immi,Ilamatar,Marj...
20090307173137AAEF8K1	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Why does he like to talk to me sometime and other times he doesn't like to talk?	I've got a new crush on a guy I've known sense the beginning of the school year but I didn't really notice him that way until recently.       I'm not open about being bi; only like 2 other people know. I'm a dude btw.       Anyway; he's kind of muscular. Today he had on a "wife beater" and i was like "man your like extra muscular! nice; i'm jealous" *insert flirty smile* lol. And then he flexes and goes "It's not much" and of course he's got the ego smile goin and I jokingly tell him to shut up because if his muscles are rocks mine are pebbles. Lol. Sometimes he stands really close to me. We were sitting in class and I let my foot touch his and he didn't move it even when I tapped at it a little. I said "I'm thinking about trying to dress like him since he pulls it off" and he smiled and said maybe he'd try to dress like me he thinks he can pull it off. So that's good I guess. So I try to do little flirts like that and he responds well but sometimes he just acts like he doesn't want to talk to me and other times he'll laugh at my corny jokes and he'll be really friendly.      So I don't know why he wants to talk to me and then two minutes later he doesn't want to. And I was talking to one of my best friends who's a handsome guy and his demeanor changed when he saw us talking; he kind of went into a shell. And I spend a lot of time with my best friend because I've known him for years he's really cool and we get along well so yeah. Idk what to do.      This isn't the first time this has happened to me with someone I like so maybe it's something I'm doing.
20090307173026AAiPZS9	Society & Culture;Religion & Spirituality	Are there any Atheists who are opposed to Gay Relationships and find them repulsive?	I think there is a huge correlation between being gay and being atheist.
20090307174219AAzyBs4	Society & Culture;Other - Society & Culture	What do men think of attractive women with bad skin?	My friend is attractive but she has bad skin with obvious deppressed scar (pock marks). In fact she is physically attractive and the only minus point is her bad skin - something she s very affected about.      Edit: Most of the time, having bad skin is genetic. I know for a fact she took extremely good care of them compared to those with naturally flawless skin. Perhaps that why she s just so upset.
20090307172853AAGiL5k	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	I am realy drunk should i go south?	i want to go out ive got the money and the drink and iwant to go find sum celebreties like stephen fry and lady gaga
20090307172745AAI1hqX	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Am I Bi or what? (Extra)?	I think guys are cute but the only guy I think are cute are white guys and im not white.       I'm not really attracted to girls that much but just a little      btw im 14
20090307174148AAV8qWE	Society & Culture;Religion & Spirituality	Does the Pope give you your confirmation if you live in Rome?	We were talking about how the Archbishop has to give us our Confirmation. It's next year at Easter for me and my friend. We were wondering if since the Pope is the Bishop of Rome and Confirmation has to be done by a Bishop, then does the Pope do it if you get your confirmation in Rome? Or is his title more ceremonial and is there another Bishop who does it? It would be very amazing to have the Holy Father be the one who blesses you and puts the oil on your forehead, I think I would be nervous. I think I will be nervous regardless, but even more then.
20090307173115AA8mwcm	Society & Culture;Religion & Spirituality	Do you agree with Pope Chris /CJ sermon On hermisexuals?	Spoken by his Imperial Pastor Deacon spokesman       http://www.youtube.com/watch?v=hZeHd4fum... 
20090307173216AAzd6nj	Society & Culture;Other - Society & Culture	Why are men assholes?	no really i want to know...how can a guy act like he loves you and then be a total asshole the next and act like he never cared about you??
20090307172902AA0vgLk	Society & Culture;Other - Society & Culture	Why do people ask you how you are feeling, if they can see you are still feeling bad?	N/A
20090307173042AA0taHy	Society & Culture;Languages	Spanish Job Application?	Does anybody know where I can find a spanish job application online? (Doesn't matter what job it is for it just has to be in spanish.)
20090307173627AAif4kl	Society & Culture;Languages	Something to say instead of "he or she" all the time?	I dont know what else to write for something like this other that "He or She" all the time. I'll give an example of what I wrote in an earlier essay:      "Again, if a partner is asked whether he or she was missed as he or she was away, would expect the answer that the other partner did miss the other person."      Any suggestions?
