20090220072842AAGP4V1	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	How can you tell if there faking it ???	you know what i mean.
20070116123457AA1K0V4	Society & Culture;Religion & Spirituality	Alguien sabe el verdadero significado de los evangelios en la biblia?	Para no crear confusiones- si la biblia se lee al pue de la letra o literealmente, pierde su sentido, se encuantran contradicciones, de ahi las diferentes interpretacion de cada persona, y las religiones, etc.    Es ciertto que es un tratad para la evolucion interna que, depende de un lenguaje atiquisimo que solo lo podian entender algunos iniciados? y que el apocalipsis no es mas que una pruba de eso, y que estos secretos estan celosamente guardados aun?
20070117001448AAaolhK	Society & Culture;Religion & Spirituality	Los terroristas musulmanes que parte o partes del corán interpretaron mal para realizar sus actos?	N/A
20070117172645AAIiOqm	Society & Culture;Religion & Spirituality	Es realmente Jesucristo parte de la trinidad?	Si jesus es parte de la trinidad, y es coigual al padre, osea que tiene el mismo poder y la misma omniciencia, por que no sabe el dia ni la hora del fin? esta mintiendo, o no es tan coigual como los trinitarios lo afirman. y si es coeterno, porque tiene principio?  segun galatas 4.4 Dios envia a su hijo nacido de mujer.  si es asi, y jesus existia en la eternidad quien era su madre en ese tiempo?
20070118111558AAdynwL	Society & Culture;Religion & Spirituality	Its been confirmed, my wife is cheating on me with a guy named Ramone, will you be my new spouse?	I'm very hot.
20070118223300AAdWldc	Society & Culture;Religion & Spirituality	Which are the main obstacles that modern society has put between men and God?	N/A
20070123081754AATTDbE	Society & Culture;Mythology & Folklore	Does anyone know about Annwn or Bebhinn?	I'm interested in knowing more on both subjects. I've done a good amount of googling, but there isn't alot of information online. Can anyone show me some more extensive information than is found on Wikipedia?       Tell me or point me to good sources. Either is quite appreciated.
20070124165241AAvUAxu	Society & Culture;Religion & Spirituality	Ser antirreligioso hace q una persona sea mejor ?	existen personas para las cuales todo lo q no se puede demostrar no tiene sentido. Yo creo q ciencia y religion son dos caminos paralelos
20070125120811AAvoUee	Society & Culture;Cultures & Groups;Other - Cultures & Groups	Are there any swingers on yahoo answers?	Please be 21+ years old and married. Anyone have a story to share? Weird experience? What are your Likes/Dislikes about the lifestyle?
20070126085025AADcWqt	Society & Culture;Religion & Spirituality	Como volverme ermita?o, si tengo que vivir en el mundo globalizado, si soy ermita?o, morire de hambre?	N/A
20070126155535AAmxdw8	Society & Culture;Religion & Spirituality	Si Jesus es hijo de Maria y y creado por el espiritu santo, a Dios padre quien lo creo?	N/A
20070126173449AAA6viA	Society & Culture;Religion & Spirituality	Should i go?	There is a Chris Tomlin concert coming to my town in Feburary and i can't decide if i want to go. Its on a school day and i'm going with people that i really don't like, they bug me, i think it will ruin the experience. But they are the only way that i can get there. what should i do?
20070127051001AABE0ic	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Why is Ford being so pro Gay?	In the face of Ford Motor Co. falling down in the market through loss of sales, etc.  Why do they continue to support all the gay issues?  Don't they realize that might be one of their problems?
20070127113151AAFEFaF	Society & Culture;Religion & Spirituality	What bible and church tells about LOVE (with a girl)?	please provide examples from bible...
20070202003141AAqGDJP	Society & Culture;Other - Society & Culture	Qualcuno di voi ha dei record da guinness?	Chi, almeno una volta, non ha pensato di inventarsi qualcosa per finire sul libro dei record, il, Guinness dei primati! Voi avete qualche record personale che pensate possa ambire a tale titolo?
20070131031850AAfH9wI	Society & Culture;Holidays;Other - Holidays	Qualche idea per travestirsi a carnevale?voi cosa avete scelto per quest'anno??	N/A
20070131085454AAvwewZ	Society & Culture;Other - Society & Culture	?Que existe mas el odio o el amor?	Gracias a todas las personas que respondan esta pregunta.Saludos.
20070202132457AAzAtGb	Society & Culture;Religion & Spirituality	What do you worry about,if its any of my business.or do you worry?	I dont worry personally, get depressed some. which I cant help.but never have worryed.I have no fears.get angry yes, but no worry.   is worry like doubt? its says in Romans that its a SIN to doubt.
20070203110842AAmK0SM	Society & Culture;Other - Society & Culture	Why is it when celebrities ask questions on here, are they about starvation and aids in africa?	they have problems that we do too.....why do they think they have to act like their worried about that stuff?
20070211110541AAJTmo8	Society & Culture;Other - Society & Culture	?Te crees inteligente?	Dicen que la inteligencia es el recurso mejor distribuido porque todos piensan que tienen mucha, ?sera asi?
20070213064343AAOdan6	Society & Culture;Religion & Spirituality	I want to know about the legend of Kraken?	N/A
20070214131539AAhxLBP	Society & Culture;Religion & Spirituality	?que piensan de los mormones?(no sean groseros porfavor)?	ose les gustas esa iglesia
20070301094054AAOM63m	Society & Culture;Other - Society & Culture	What will YOU do when it's time to party?	N/A
20070308140458AAQFc0q	Society & Culture;Religion & Spirituality	Who were the two youngest kings in the old testament ?	N/A
20070310080557AAeYuqI	Society & Culture;Religion & Spirituality	Que es el amor????	todas
20070312045825AAfLKkT	Society & Culture;Religion & Spirituality	Do you have to sell your soul to Satan or could you have some sort of leasing arrangement?	N/A
20070314053903AAMXZhX	Society & Culture;Other - Society & Culture	What are the modern wonders of the world today?	N/A
20070315130315AAcMJOC	Society & Culture;Religion & Spirituality	Is there anyone with an intemate relation with jesus?	N/A
20070315114558AAIgdYN	Society & Culture;Religion & Spirituality	Religion homework.we have to research for it so i am asking all of you these questions.i hope that u can help!	what is the vessel called that is used to expose the blessed sacrement for adoration?what is the title bestowed upon a roman catholic church because of its age or importance?what do the letters at the top of the crucifix mean?what is the name of the bishops staff used as a symbol of his office?what is another name for "the city of david"?in which book of the bible is the story of Abraham found?what prayer containing three hail marys is prayed in honor of the incarnation?which artist painted the famous scenes in the sistine chapel in Rome?what is the cross worn by a bishop or abbot?in what year did mary appear to sait bernadette?what year was the council of nicea?
20070413063332AA1rEmU	Society & Culture;Religion & Spirituality	Which is more scary: Satan and Hell or Freddy and the boiler room?	I'd say Freddy.
20070326175543AAgdDZ6	Society & Culture;Religion & Spirituality	Oh MA GAWD????Atheists?	I just posted the two most intellectual questions I've ever had on this forum. Serious stuff. One of them got two answers, one didn't show up.    http://answers.yahoo.com/question/index;...        http://answers.yahoo.com/question/index;...       Atheists, Agnostics, all with open minds especially go to these two q's and answer. I really thought about these works of logic...can you find any blatant errors?      I don't want to hear "it's in the Bible."
20070406121737AAxt3Fd	Society & Culture;Religion & Spirituality	Could you summarize the key points of Jesus' becoming known, and influential in his lifetime?	Thanks!  For instance, was it due in what part to the disciples support?  Was he known as a young man as the son of God, or when did that idea begin to spread?  Was his behavior and message consistent, or did he do have purposeful stages to his goal?  When did he become "Wanted" by the empire...That kind of stuff.
20070420050317AAS0huO	Society & Culture;Cultures & Groups;Lesbian, Gay, Bisexual, and Transgendered	Are there LGBT Pagans who would like to contribute to pagan internet radio?	I was wondering if there are LGBT Pagans around here would would like to contribute to a Pagan internet radio station.
20070418095854AACZVPY	Society & Culture;Cultures & Groups;Other - Cultures & Groups	?Te gustan los mercados? ?Alguno favorito?	A mi me encanta el Mercado de Jamaica en la Ciudad de México, lleno de flores, la única sección que no me agrada es la de los animales. ?Conocen en el centro de la Ciudad de México el mercado Avelardo Rodríguez?   También me gusta mucho el Mercado de Sonora, mágico y original, lleno de hierbas curativas, embrujos y pociones.   Recuerdo que en Tamaulipas vi uno similar, en dónde encontré una oración a Pancho Villa!!!    En Aguascalientes, me gusta mucho el Mercado Terán, en el piso superior tiene una sección de quesos y cremas muy sabrosos!   ?Y qué me dicen del mercado de Guanajuato? Hermoso!   ?O el de comidas en Oaxaca?   Una vez que visité Seattle, me encantó el Pike Market, en donde los vendedores de pescado hacen todo un show acrobático con los pescados, muy original...    ?Y en tu país, o en tu ciudad, cuál es el mercado que mas te gusta? ?Tienes algún otro mercado preferido?
20070322174622AAgAXx7	Society & Culture;Religion & Spirituality	Em que parte da Bíblia Deus diz que a salva??o é individual?	N/A
20070403134816AA6Dbbl	Society & Culture;Other - Society & Culture	Vou matar meu orkut e criar meu yahoo respostas?	fotos scraps,confusoes fofocas,chega disso estou alegre que a yr agora pode add amigos o que torna melhor ate que o orkut que nos podemos interagir entre brasil e mundo , o orkut ta perdendo a gra?a e causando muito prejuizos,quando nao e morte e separacao ou brigas de turminhas mal intecionadas que aqui concordam comigo povo brasileiro?   o yr esta mais maleavel que o orkut esta.isso eu assino embaixo e vcs
20070407084659AATiuJ2	Society & Culture;Religion & Spirituality	No seu entendimento em qual perfil se enquadra a Bíblia?	1 - Livro Histórico?      2 - Fonte de Uni?o e   Palavra Santa?      3 - Compêndio de dados inventados e manipulados e   Fonte de discórdia?      4 - Mero livro?
20070323094011AALfI7s	Society & Culture;Religion & Spirituality	Você acredita em Deus?	é só uma "enquetinha". N?o vou dar melhor resposta pra ninguem, só quero saber quantas pessoas acreditam NO criador, que nasceu do nada e criou tudo.
20070322174256AAHUmoL	Society & Culture;Religion & Spirituality	O que Jesus queria dizer?	quando afirmou:       " Eu sou o caminho...Ninguem Vai ao  Pai senao por mim"?      1) Que ele como o Unico Caminho,  nos leva ao Pai?      ou       2) Que seria impossivel chegar-se  ao Pai, mesmo com  a ajuda de Jesus?
